Date,State,Active,Cured,Deaths,Total
18-03-2020,Uttar Pradesh,10,9,0,19
18-03-2020,West Bengal,1,0,0,1
19-03-2020,Andhra Pradesh,3,0,0,3
19-03-2020,Chandigarh,1,0,0,1
19-03-2020,Chhattisgarh,1,0,0,1
19-03-2020,Delhi,11,5,1,17
19-03-2020,Gujarat,5,0,0,5
19-03-2020,Haryana,17,0,0,17
19-03-2020,Jammu and Kashmir,4,0,0,4
19-03-2020,Karnataka,13,1,1,15
19-03-2020,Kerala,25,3,0,28
19-03-2020,Ladakh,10,0,0,10
19-03-2020,Maharashtra,51,0,1,52
19-03-2020,Odisha,2,0,0,2
19-03-2020,Puducherry,1,0,0,1
19-03-2020,Punjab,1,0,1,2
19-03-2020,Rajasthan,14,3,0,17
19-03-2020,Tamil Nadu,2,1,0,3
19-03-2020,Telangana,16,1,0,17
19-03-2020,Uttarakhand,3,0,0,3
19-03-2020,Uttar Pradesh,14,9,0,23
19-03-2020,West Bengal,2,0,0,2
20-03-2020,Andhra Pradesh,3,0,0,3
20-03-2020,Chandigarh,1,0,0,1
20-03-2020,Chhattisgarh,1,0,0,1
20-03-2020,Delhi,20,5,1,26
20-03-2020,Gujarat,7,0,0,7
20-03-2020,Haryana,17,0,0,17
20-03-2020,Himachal Pradesh,2,0,0,2
20-03-2020,Jammu and Kashmir,4,0,0,4
20-03-2020,Karnataka,13,1,1,15
20-03-2020,Kerala,37,3,0,40
20-03-2020,Ladakh,13,0,0,13
20-03-2020,Madhya Pradesh,4,0,0,4
20-03-2020,Maharashtra,62,0,1,63
20-03-2020,Odisha,2,0,0,2
20-03-2020,Puducherry,1,0,0,1
20-03-2020,Punjab,12,0,1,13
20-03-2020,Rajasthan,14,3,0,17
20-03-2020,Tamil Nadu,2,1,0,3
20-03-2020,Telangana,20,1,0,21
20-03-2020,Uttarakhand,3,0,0,3
20-03-2020,Uttar Pradesh,15,9,0,24
20-03-2020,West Bengal,3,0,0,3
21-03-2020,Andhra Pradesh,5,0,0,5
21-03-2020,Bihar,1,0,1,2
21-03-2020,Chandigarh,5,0,0,5
21-03-2020,Chhattisgarh,1,0,0,1
21-03-2020,Delhi,23,5,1,29
21-03-2020,Gujarat,17,0,1,18
21-03-2020,Haryana,21,0,0,21
21-03-2020,Himachal Pradesh,2,0,0,2
21-03-2020,Jammu and Kashmir,4,0,0,4
21-03-2020,Karnataka,23,2,1,26
21-03-2020,Kerala,49,3,0,52
21-03-2020,Ladakh,13,0,0,13
21-03-2020,Madhya Pradesh,4,0,0,4
21-03-2020,Maharashtra,65,0,2,67
21-03-2020,Odisha,2,0,0,2
21-03-2020,Puducherry,1,0,0,1
21-03-2020,Punjab,20,0,1,21
21-03-2020,Rajasthan,21,3,0,24
21-03-2020,Tamil Nadu,6,1,0,7
21-03-2020,Telangana,21,1,0,22
21-03-2020,Uttarakhand,3,0,0,3
21-03-2020,Uttar Pradesh,18,9,0,27
21-03-2020,West Bengal,4,0,0,4
22-03-2020,Andhra Pradesh,7,0,0,7
22-03-2020,Bihar,1,0,1,2
22-03-2020,Chandigarh,6,0,0,6
22-03-2020,Chhattisgarh,1,0,0,1
22-03-2020,Delhi,23,5,1,29
22-03-2020,Gujarat,28,0,1,29
22-03-2020,Haryana,15,11,0,26
22-03-2020,Himachal Pradesh,2,0,1,3
22-03-2020,Jammu and Kashmir,4,0,0,4
22-03-2020,Karnataka,30,2,1,33
22-03-2020,Kerala,64,3,0,67
22-03-2020,Ladakh,13,0,0,13
22-03-2020,Madhya Pradesh,6,0,0,6
22-03-2020,Maharashtra,72,0,2,74
22-03-2020,Odisha,2,0,0,2
22-03-2020,Puducherry,1,0,0,1
22-03-2020,Punjab,20,0,1,21
22-03-2020,Rajasthan,25,3,0,28
22-03-2020,Tamil Nadu,8,1,0,9
22-03-2020,Telangana,31,1,0,32
22-03-2020,Uttarakhand,3,0,0,3
22-03-2020,Uttar Pradesh,22,9,0,31
22-03-2020,West Bengal,6,0,1,7
23-03-2020,Andhra Pradesh,8,0,0,8
23-03-2020,Bihar,2,0,1,3
23-03-2020,Chandigarh,7,0,0,7
23-03-2020,Chhattisgarh,1,0,0,1
23-03-2020,Delhi,23,6,1,30
23-03-2020,Gujarat,32,0,1,33
23-03-2020,Haryana,17,11,0,28
23-03-2020,Himachal Pradesh,2,0,1,3
23-03-2020,Jammu and Kashmir,4,0,0,4
23-03-2020,Karnataka,33,3,1,37
23-03-2020,Kerala,91,4,0,95
23-03-2020,Ladakh,13,0,0,13
23-03-2020,Madhya Pradesh,7,0,0,7
23-03-2020,Maharashtra,85,1,3,89
23-03-2020,Manipur,1,0,0,1
23-03-2020,Odisha,2,0,0,2
23-03-2020,Puducherry,1,0,0,1
23-03-2020,Punjab,28,0,1,29
23-03-2020,Rajasthan,29,3,0,32
23-03-2020,Tamil Nadu,14,1,0,15
23-03-2020,Telangana,34,1,0,35
23-03-2020,Uttarakhand,4,0,0,4
23-03-2020,Uttar Pradesh,22,11,0,33
23-03-2020,West Bengal,8,0,1,9
24-03-2020,Andhra Pradesh,8,1,0,9
24-03-2020,Bihar,3,0,1,4
24-03-2020,Chandigarh,7,0,0,7
24-03-2020,Chhattisgarh,1,0,0,1
24-03-2020,Delhi,24,6,1,31
24-03-2020,Gujarat,37,0,1,38
24-03-2020,Haryana,17,11,0,28
24-03-2020,Himachal Pradesh,2,0,1,3
24-03-2020,Jammu and Kashmir,6,1,0,7
24-03-2020,Karnataka,37,3,1,41
24-03-2020,Kerala,105,4,0,109
24-03-2020,Ladakh,13,0,0,13
24-03-2020,Madhya Pradesh,14,0,0,14
24-03-2020,Maharashtra,124,1,3,128
24-03-2020,Manipur,1,0,0,1
24-03-2020,Mizoram,1,0,0,1
24-03-2020,Odisha,2,0,0,2
24-03-2020,Puducherry,1,0,0,1
24-03-2020,Punjab,28,0,1,29
24-03-2020,Rajasthan,33,3,0,36
24-03-2020,Tamil Nadu,17,1,0,18
24-03-2020,Telangana,34,1,0,35
24-03-2020,Uttarakhand,4,0,0,4
24-03-2020,Uttar Pradesh,26,11,0,37
24-03-2020,West Bengal,8,0,1,9
25-03-2020,Andhra Pradesh,10,1,0,11
25-03-2020,Andaman and Nicobar Islands,1,0,0,1
25-03-2020,Bihar,5,0,1,6
25-03-2020,Chandigarh,7,0,0,7
25-03-2020,Chhattisgarh,6,0,0,6
25-03-2020,Delhi,29,6,1,36
25-03-2020,Goa,3,0,0,3
25-03-2020,Gujarat,40,0,3,43
25-03-2020,Haryana,19,11,0,30
25-03-2020,Himachal Pradesh,2,0,1,3
25-03-2020,Jammu and Kashmir,11,1,1,13
25-03-2020,Karnataka,50,3,2,55
25-03-2020,Kerala,112,6,0,118
25-03-2020,Ladakh,13,0,0,13
25-03-2020,Madhya Pradesh,19,0,1,20
25-03-2020,Maharashtra,120,1,3,124
25-03-2020,Manipur,1,0,0,1
25-03-2020,Mizoram,1,0,0,1
25-03-2020,Odisha,2,0,0,2
25-03-2020,Puducherry,1,0,0,1
25-03-2020,Punjab,32,0,1,33
25-03-2020,Rajasthan,38,3,0,41
25-03-2020,Tamil Nadu,24,1,1,26
25-03-2020,Telangana,43,1,0,44
25-03-2020,Uttarakhand,5,0,0,5
25-03-2020,Uttar Pradesh,30,11,0,41
25-03-2020,West Bengal,9,0,1,10
26-03-2020,Andhra Pradesh,11,1,0,12
26-03-2020,Andaman and Nicobar Islands,1,0,0,1
26-03-2020,Bihar,5,0,1,6
26-03-2020,Chandigarh,7,0,0,7
26-03-2020,Chhattisgarh,6,0,0,6
26-03-2020,Delhi,29,6,1,36
26-03-2020,Goa,3,0,0,3
26-03-2020,Gujarat,40,0,3,43
26-03-2020,Haryana,19,11,0,30
26-03-2020,Himachal Pradesh,2,0,1,3
26-03-2020,Jammu and Kashmir,11,1,1,13
26-03-2020,Karnataka,50,3,2,55
26-03-2020,Kerala,126,11,0,137
26-03-2020,Ladakh,10,3,0,13
26-03-2020,Madhya Pradesh,19,0,1,20
26-03-2020,Maharashtra,111,15,4,130
26-03-2020,Manipur,1,0,0,1
26-03-2020,Mizoram,1,0,0,1
26-03-2020,Odisha,2,0,0,2
26-03-2020,Puducherry,1,0,0,1
26-03-2020,Punjab,32,0,1,33
26-03-2020,Rajasthan,38,3,0,41
26-03-2020,Tamil Nadu,27,1,1,29
26-03-2020,Telangana,44,1,0,45
26-03-2020,Uttarakhand,5,0,0,5
26-03-2020,Uttar Pradesh,30,11,0,41
26-03-2020,West Bengal,9,0,1,10
27-03-2020,Andhra Pradesh,13,1,0,14
27-03-2020,Andaman and Nicobar Islands,6,0,0,6
27-03-2020,Bihar,8,0,1,9
27-03-2020,Chandigarh,8,0,0,8
27-03-2020,Chhattisgarh,6,0,0,6
27-03-2020,Delhi,31,6,2,39
27-03-2020,Goa,3,0,0,3
27-03-2020,Gujarat,39,0,5,44
27-03-2020,Haryana,21,12,0,33
27-03-2020,Himachal Pradesh,2,0,1,3
27-03-2020,Jammu and Kashmir,17,1,2,20
27-03-2020,Karnataka,49,3,3,55
27-03-2020,Kerala,164,11,1,176
27-03-2020,Ladakh,10,3,0,13
27-03-2020,Madhya Pradesh,28,0,2,30
27-03-2020,Maharashtra,149,25,6,180
27-03-2020,Manipur,1,0,0,1
27-03-2020,Mizoram,1,0,0,1
27-03-2020,Odisha,3,0,0,3
27-03-2020,Puducherry,1,0,0,1
27-03-2020,Punjab,36,1,1,38
27-03-2020,Rajasthan,51,3,0,54
27-03-2020,Tamil Nadu,37,2,1,40
27-03-2020,Telangana,54,1,1,56
27-03-2020,Uttarakhand,5,0,0,5
27-03-2020,Uttar Pradesh,44,11,0,55
27-03-2020,West Bengal,14,0,1,15
28-03-2020,Andhra Pradesh,18,1,0,19
28-03-2020,Andaman and Nicobar Islands,9,0,0,9
28-03-2020,Bihar,10,0,1,11
28-03-2020,Chandigarh,8,0,0,8
28-03-2020,Chhattisgarh,7,0,0,7
28-03-2020,Delhi,41,6,2,49
28-03-2020,Goa,5,0,0,5
28-03-2020,Gujarat,52,1,5,58
28-03-2020,Haryana,16,17,0,33
28-03-2020,Himachal Pradesh,2,0,1,3
28-03-2020,Jammu and Kashmir,28,1,2,31
28-03-2020,Karnataka,68,5,3,76
28-03-2020,Kerala,166,15,1,182
28-03-2020,Ladakh,10,3,0,13
28-03-2020,Madhya Pradesh,28,0,2,30
28-03-2020,Maharashtra,155,25,6,186
28-03-2020,Manipur,1,0,0,1
28-03-2020,Mizoram,1,0,0,1
28-03-2020,Odisha,3,0,0,3
28-03-2020,Puducherry,1,0,0,1
28-03-2020,Punjab,36,1,1,38
28-03-2020,Rajasthan,52,3,0,55
28-03-2020,Tamil Nadu,44,4,1,49
28-03-2020,Telangana,64,1,1,66
28-03-2020,Uttarakhand,5,2,0,7
28-03-2020,Uttar Pradesh,54,11,0,65
28-03-2020,West Bengal,17,0,1,18
29-03-2020,Andhra Pradesh,22,1,0,23
29-03-2020,Andaman and Nicobar Islands,9,0,0,9
29-03-2020,Bihar,14,0,1,15
29-03-2020,Chandigarh,8,0,0,8
29-03-2020,Chhattisgarh,7,0,0,7
29-03-2020,Delhi,79,6,2,87
29-03-2020,Goa,5,0,0,5
29-03-2020,Gujarat,62,1,6,69
29-03-2020,Haryana,18,18,0,36
29-03-2020,Himachal Pradesh,2,0,1,3
29-03-2020,Jammu and Kashmir,44,2,2,48
29-03-2020,Karnataka,75,5,3,83
29-03-2020,Kerala,182,19,1,202
29-03-2020,Ladakh,10,3,0,13
29-03-2020,Madhya Pradesh,44,0,3,47
29-03-2020,Maharashtra,165,25,8,198
29-03-2020,Manipur,1,0,0,1
29-03-2020,Mizoram,1,0,0,1
29-03-2020,Odisha,3,0,0,3
29-03-2020,Puducherry,1,0,0,1
29-03-2020,Punjab,34,1,3,38
29-03-2020,Rajasthan,56,3,0,59
29-03-2020,Tamil Nadu,62,4,1,67
29-03-2020,Telangana,69,1,1,71
29-03-2020,Uttarakhand,5,2,0,7
29-03-2020,Uttar Pradesh,71,11,0,82
29-03-2020,West Bengal,20,0,2,22
30-03-2020,Andhra Pradesh,39,1,0,40
30-03-2020,Andaman and Nicobar Islands,10,0,0,10
30-03-2020,Bihar,14,0,1,15
30-03-2020,Chandigarh,13,0,0,13
30-03-2020,Chhattisgarh,8,0,0,8
30-03-2020,Delhi,89,6,2,97
30-03-2020,Goa,5,0,0,5
30-03-2020,Gujarat,64,3,6,73
30-03-2020,Haryana,19,21,0,40
30-03-2020,Himachal Pradesh,2,0,1,3
30-03-2020,Jammu and Kashmir,50,2,2,54
30-03-2020,Karnataka,75,5,3,83
30-03-2020,Kerala,214,19,1,234
30-03-2020,Ladakh,10,3,0,13
30-03-2020,Madhya Pradesh,44,0,3,47
30-03-2020,Maharashtra,168,39,9,216
30-03-2020,Manipur,1,0,0,1
30-03-2020,Mizoram,1,0,0,1
30-03-2020,Odisha,3,0,0,3
30-03-2020,Puducherry,1,0,0,1
30-03-2020,Punjab,37,1,3,41
30-03-2020,Rajasthan,90,3,0,93
30-03-2020,Tamil Nadu,69,4,1,74
30-03-2020,Telangana,77,1,1,79
30-03-2020,Uttarakhand,5,2,0,7
30-03-2020,Uttar Pradesh,87,14,0,101
30-03-2020,West Bengal,24,0,2,26
31-03-2020,Andhra Pradesh,83,0,0,83
31-03-2020,Andaman and Nicobar Islands,9,1,0,10
31-03-2020,Assam,1,0,0,1
31-03-2020,Bihar,22,0,1,23
31-03-2020,Chandigarh,16,0,0,16
31-03-2020,Chhattisgarh,7,2,0,9
31-03-2020,Delhi,144,6,2,152
31-03-2020,Goa,5,0,0,5
31-03-2020,Gujarat,71,5,6,82
31-03-2020,Haryana,22,21,0,43
31-03-2020,Himachal Pradesh,2,0,1,3
31-03-2020,Jammu and Kashmir,58,2,2,62
31-03-2020,Jharkhand,1,0,0,1
31-03-2020,Karnataka,90,8,3,101
31-03-2020,Kerala,216,23,2,241
31-03-2020,Ladakh,10,3,0,13
31-03-2020,Madhya Pradesh,63,0,3,66
31-03-2020,Maharashtra,254,39,9,302
31-03-2020,Manipur,1,0,0,1
31-03-2020,Mizoram,1,0,0,1
31-03-2020,Odisha,4,0,0,4
31-03-2020,Puducherry,2,1,0,3
31-03-2020,Punjab,38,1,3,42
31-03-2020,Rajasthan,90,3,0,93
31-03-2020,Tamil Nadu,227,6,1,234
31-03-2020,Telangana,92,1,3,96
31-03-2020,Uttarakhand,5,2,0,7
31-03-2020,Uttar Pradesh,87,14,2,103
31-03-2020,West Bengal,28,6,3,37
01-04-2020,Andhra Pradesh,84,1,1,86
01-04-2020,Andaman and Nicobar Islands,10,0,0,10
01-04-2020,Assam,5,0,0,5
01-04-2020,Bihar,23,0,1,24
01-04-2020,Chandigarh,16,0,0,16
01-04-2020,Chhattisgarh,7,2,0,9
01-04-2020,Delhi,207,8,4,219
01-04-2020,Goa,5,0,0,5
01-04-2020,Gujarat,72,8,7,87
01-04-2020,Haryana,22,21,0,43
01-04-2020,Himachal Pradesh,1,1,1,3
01-04-2020,Jammu and Kashmir,58,2,2,62
01-04-2020,Jharkhand,1,0,0,1
01-04-2020,Karnataka,98,9,3,110
01-04-2020,Kerala,238,25,2,265
01-04-2020,Ladakh,10,3,0,13
01-04-2020,Madhya Pradesh,93,0,6,99
01-04-2020,Maharashtra,280,42,13,335
01-04-2020,Manipur,1,0,0,1
01-04-2020,Mizoram,1,0,0,1
01-04-2020,Odisha,4,0,0,4
01-04-2020,Puducherry,2,1,0,3
01-04-2020,Punjab,41,1,4,46
01-04-2020,Rajasthan,105,3,0,108
01-04-2020,Tamil Nadu,227,6,1,234
01-04-2020,Telangana,103,1,3,107
01-04-2020,Uttarakhand,5,2,0,7
01-04-2020,Uttar Pradesh,97,14,2,113
01-04-2020,West Bengal,44,6,3,53
02-04-2020,Andhra Pradesh,130,1,1,132
02-04-2020,Andaman and Nicobar Islands,10,0,0,10
02-04-2020,Arunachal Pradesh,1,0,0,1
02-04-2020,Assam,16,0,0,16
02-04-2020,Bihar,28,0,1,29
02-04-2020,Chandigarh,18,0,0,18
02-04-2020,Chhattisgarh,6,3,0,9
02-04-2020,Delhi,207,8,4,219
02-04-2020,Goa,6,0,0,6
02-04-2020,Gujarat,77,10,8,95
02-04-2020,Haryana,25,24,0,49
02-04-2020,Himachal Pradesh,4,1,1,6
02-04-2020,Jammu and Kashmir,70,3,2,75
02-04-2020,Jharkhand,2,0,0,2
02-04-2020,Karnataka,111,10,3,124
02-04-2020,Kerala,257,27,2,286
02-04-2020,Ladakh,11,3,0,14
02-04-2020,Madhya Pradesh,98,0,6,104
02-04-2020,Maharashtra,277,42,16,335
02-04-2020,Manipur,2,0,0,2
02-04-2020,Mizoram,1,0,0,1
02-04-2020,Odisha,5,0,0,5
02-04-2020,Puducherry,4,1,0,5
02-04-2020,Punjab,42,1,5,48
02-04-2020,Rajasthan,164,3,0,167
02-04-2020,Tamil Nadu,302,6,1,309
02-04-2020,Telangana,150,1,7,158
02-04-2020,Uttarakhand,8,2,0,10
02-04-2020,Uttar Pradesh,156,14,2,172
02-04-2020,West Bengal,57,3,3,63
03-04-2020,Andhra Pradesh,159,1,1,161
03-04-2020,Andaman and Nicobar Islands,10,0,0,10
03-04-2020,Arunachal Pradesh,1,0,0,1
03-04-2020,Assam,24,0,0,24
03-04-2020,Bihar,29,0,1,30
03-04-2020,Chandigarh,18,0,0,18
03-04-2020,Chhattisgarh,6,3,0,9
03-04-2020,Delhi,424,15,6,445
03-04-2020,Goa,7,0,0,7
03-04-2020,Gujarat,81,14,10,105
03-04-2020,Haryana,25,24,0,49
03-04-2020,Himachal Pradesh,4,1,1,6
03-04-2020,Jammu and Kashmir,70,3,2,75
03-04-2020,Jharkhand,2,0,0,2
03-04-2020,Karnataka,113,12,3,128
03-04-2020,Kerala,252,41,2,295
03-04-2020,Ladakh,11,3,0,14
03-04-2020,Madhya Pradesh,98,0,6,104
03-04-2020,Maharashtra,424,42,24,490
03-04-2020,Manipur,2,0,0,2
03-04-2020,Mizoram,1,0,0,1
03-04-2020,Odisha,5,0,0,5
03-04-2020,Puducherry,4,1,0,5
03-04-2020,Punjab,51,1,5,57
03-04-2020,Rajasthan,179,21,0,200
03-04-2020,Tamil Nadu,403,6,2,411
03-04-2020,Telangana,151,1,7,159
03-04-2020,Uttarakhand,14,2,0,16
03-04-2020,Uttar Pradesh,153,19,2,174
03-04-2020,West Bengal,63,3,3,69
04-04-2020,Andhra Pradesh,188,1,1,190
04-04-2020,Andaman and Nicobar Islands,10,0,0,10
04-04-2020,Arunachal Pradesh,1,0,0,1
04-04-2020,Assam,26,0,0,26
04-04-2020,Bihar,29,0,1,30
04-04-2020,Chandigarh,18,0,0,18
04-04-2020,Chhattisgarh,6,3,0,9
04-04-2020,Delhi,478,18,7,503
04-04-2020,Goa,7,0,0,7
04-04-2020,Gujarat,93,18,11,122
04-04-2020,Haryana,33,25,1,59
04-04-2020,Himachal Pradesh,4,1,1,6
04-04-2020,Jammu and Kashmir,100,4,2,106
04-04-2020,Jharkhand,3,0,0,3
04-04-2020,Karnataka,128,12,4,144
04-04-2020,Kerala,255,49,2,306
04-04-2020,Ladakh,4,10,0,14
04-04-2020,Madhya Pradesh,156,0,9,165
04-04-2020,Maharashtra,424,42,24,490
04-04-2020,Manipur,2,0,0,2
04-04-2020,Mizoram,1,0,0,1
04-04-2020,Odisha,20,0,0,20
04-04-2020,Puducherry,4,1,0,5
04-04-2020,Punjab,51,1,5,57
04-04-2020,Rajasthan,179,21,0,200
04-04-2020,Tamil Nadu,476,6,3,485
04-04-2020,Telangana,230,32,7,269
04-04-2020,Uttarakhand,20,2,0,22
04-04-2020,Uttar Pradesh,206,19,2,227
04-04-2020,West Bengal,67,10,3,80
